[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:05:49.68,0:05:54.73,Default,,0000,0000,0000,,それは　私じゃなくて\Nケガ人に使うものよ。\N
Dialogue: 0,0:05:54.73,0:05:59.28,Default,,0000,0000,0000,,歩ける人は？　自分で歩いて\N避難所のほうへ移動してください。\N
Dialogue: 0,0:05:59.28,0:06:03.48,Default,,0000,0000,0000,,まもなく　ここには\Nもっと多くのケガ人がやってきます。\N
Dialogue: 0,0:06:03.48,0:06:06.35,Default,,0000,0000,0000,,すぐに治療が必要な\N重傷者は赤。\N
Dialogue: 0,0:06:06.35,0:06:09.04,Default,,0000,0000,0000,,少しなら治療を待てる人は　黄色。\N
Dialogue: 0,0:06:09.04,0:06:13.25,Default,,0000,0000,0000,,軽症の人は　緑のリボンをつけて\N振り分けてください。\N
Dialogue: 0,0:06:13.25,0:06:16.62,Default,,0000,0000,0000,,は　はい！\Nさすがだね。\N
Dialogue: 0,0:06:16.62,0:06:20.49,Default,,0000,0000,0000,,ボクも戻る。\Nここは任せたよ。\N
Dialogue: 0,0:06:20.49,0:06:23.52,Default,,0000,0000,0000,,うん！\N
Dialogue: 0,0:06:23.52,0:06:26.52,Default,,0000,0000,0000,,大丈夫ですか？\N呼吸はできますか？\N
Dialogue: 0,0:08:12.35,0:08:15.55,Default,,0000,0000,0000,,わかった！\Nほんでは　ナルトを呼びに帰る。\N
Dialogue: 0,0:08:15.55,0:08:18.41,Default,,0000,0000,0000,,（綱手）頼んだぞ。\N（ドアが開く音）\N
Dialogue: 0,0:08:18.41,0:08:22.45,Default,,0000,0000,0000,,（コハル）ダメじゃ！\Nナルトは　妙木山に置いておけ。\N
Dialogue: 0,0:08:22.45,0:08:24.30,Default,,0000,0000,0000,,なんだ！？\N
Dialogue: 0,0:08:24.30,0:08:28.85,Default,,0000,0000,0000,,（ホムラ）今　里に攻め入っているのは\N暁のリーダーだと聞いた。\N
Dialogue: 0,0:08:28.85,0:08:30.37,Default,,0000,0000,0000,,どうしてそれを？\N
Dialogue: 0,0:08:30.37,0:08:32.55,Default,,0000,0000,0000,,ダンゾウから聞いたのじゃ。\N
Dialogue: 0,0:08:32.55,0:08:37.94,Default,,0000,0000,0000,,しかも　人柱力のナルトを\N狙っているというではないか。\N
Dialogue: 0,0:08:37.94,0:08:40.29,Default,,0000,0000,0000,,それがどうした？\N
Dialogue: 0,0:08:40.29,0:08:44.83,Default,,0000,0000,0000,,前回は　大目に見たが\N今回ばかりは　話が別じゃ。\N
Dialogue: 0,0:08:44.83,0:08:47.02,Default,,0000,0000,0000,,ナルトは　まだ子供。\N
Dialogue: 0,0:08:47.02,0:08:50.73,Default,,0000,0000,0000,,侵入者は　自来也を\N倒したというではないか。\N
Dialogue: 0,0:08:50.73,0:08:54.61,Default,,0000,0000,0000,,ナルトがやられ　九尾がヤツらの手に\N渡れば　それこそ…。\N
Dialogue: 0,0:08:54.61,0:08:56.61,Default,,0000,0000,0000,,うぅ…　何をする！\N
Dialogue: 0,0:08:58.81,0:09:02.35,Default,,0000,0000,0000,,綱手：私をかばうな！\Nナルト！　もうやめろ！\N
Dialogue: 0,0:09:02.35,0:09:05.55,Default,,0000,0000,0000,,死んだら何もかも\N夢も何もないんだよ！\N
